#,id,created,deleted,last_updated,uuid_str,name_bn,name_en,created_by_id,updated_by_id,upazila_id,bbs_code,bbs_code_3digit,is_updated,municipality_id,weight
1,312,2020-01-28 22:54:37,false,2020-06-03 18:41:18,d22df6c6-b618-48ea-820f-9d9fcedc78f1,দাইপুখুরিয়া,Daipukhuria,,,364,17,210,1,,0
2,323,2020-01-28 22:54:37,false,2020-06-03 18:41:19,26ad409d-216d-416f-a763-4a38e2a05a6e,শ্যামপুর,Shyampur,,,364,89,732,1,,0
3,327,2020-01-28 22:54:37,false,2020-06-03 17:43:20,a94563ca-b3f9-4f06-8ca3-f081bc93e767,একদন্ত,Ekdanta,,,365,47,243,1,,0
4,330,2020-01-28 22:54:37,false,2020-06-03 17:43:20,d073d7ef-c7a0-4ccb-b4d8-21c2f3fa0958,চাকলা,Chakla,,,366,15,175,1,,0
5,364,2020-01-28 22:54:37,false,2020-06-03 17:43:25,799fe6e4-6a54-4d9e-81dd-7868fa4a9ab1,মুলাডুলি,Muladuli,,,370,42,507,1,,0
6,365,2020-01-28 22:54:37,false,2020-06-03 17:43:26,cdc79464-96c4-4d63-bbb9-8a26290485fd,পাকশী,Pakshi,,,370,52,607,1,,0
7,366,2020-01-28 22:54:37,false,2020-06-03 17:43:26,d777ef2c-4fe4-4324-82a6-99bd888b9931,সাহাপুর,Sahapur,,,370,63,707,1,,0
8,380,2020-01-28 22:54:37,false,2020-06-03 17:43:28,83040849-8ac7-45a9-b080-7f3dced9b05d,ভুলবাড়িয়া,Bhulbaria,,,372,17,142,1,,0
9,381,2020-01-28 22:54:37,false,2020-06-03 17:43:28,9b5e8350-b0dc-482d-bcf7-35a91427e635,ধোপাদহ,Dhopadaha,,,372,25,209,1,,0
10,382,2020-01-28 22:54:37,false,2020-06-03 17:43:28,d84534b3-28fb-483e-9d51-7be64d4a2248,ধুলাউড়ি,Dhulauri,,,372,34,218,1,,0
11,384,2020-01-28 22:54:37,false,2020-06-03 17:43:29,47fc73d7-ff0e-44eb-9f5b-46f520b50841,করঞ্জা,Karanja,,,372,51,443,1,,0
12,385,2020-01-28 22:54:37,false,2020-06-03 17:43:29,f9583ce4-bc27-4eec-8d3b-a04edc0183d9,কাশীনাথপুর,Kashinathpur,,,372,60,452,1,,0
13,387,2020-01-28 22:54:37,false,2020-06-03 17:43:29,1a996fa8-172b-492f-ab1e-4b82ccf3e038,নাগডেমরা,Nagdemra,,,372,77,545,1,,0
14,432,2020-01-28 22:54:38,false,2020-06-03 18:41:21,f4538619-636b-4fec-80fa-8b31dce6e4e5,মারিয়া,Maria,,,377,71,509,1,,0
15,436,2020-01-28 22:54:38,false,2020-06-03 17:43:38,cf07979f-0419-4542-9616-63c22e02894c,দেওপাড়া,Deopara,,,378,28,210,1,,0
16,438,2020-01-28 22:54:38,false,2020-06-03 17:43:38,cff1af28-12e4-4d4b-9bec-564f380096ae,গোগ্রাম,Gogram,,,378,47,319,1,,0
17,458,2020-01-28 22:54:38,false,2020-06-03 17:43:45,607573f2-2124-4bef-ac04-877e154d10eb,বেলপুকুরিয়া,Belpukuria,,,381,27,151,1,,0
18,471,2020-01-28 22:54:38,false,2020-06-03 17:43:51,43d53e40-8bdf-4517-87a2-3a316b18baf4,বেলকুচি,Belkuchi,,,383,27,151,1,,0
19,539,2020-01-28 22:54:39,false,2020-06-03 17:50:10,d1af6b21-3727-49d7-b4cf-fc829b998596,বাঙ্গালা,Bangala,,,664,12,142,1,,0
20,561,2020-01-28 22:54:39,false,2020-06-03 17:44:03,9bc87a1c-1ada-42ef-a9e5-fd8d88daaccf,মোহাম্মদপুর,Mohammadpur,,,393,25,515,1,,0
21,562,2020-01-28 22:54:39,false,2020-06-03 17:44:03,a8496b66-7aa4-4d1c-9658-863d44069829,মোহনপুর,Mohanpur,,,393,34,524,1,,0
22,564,2020-01-28 22:54:39,false,2020-06-03 17:44:04,31a30701-c6d8-40e2-a4b2-801a0816e3cb,পলাশবাড়ি,Palashbari,,,394,80,612,1,,0
23,582,2020-01-28 22:54:39,false,2020-06-03 17:44:06,c0049f12-9653-463d-a617-104828c128ec,আটগাঁও,Atgaon,,,395,13,109,1,,0
24,588,2020-01-28 22:54:39,false,2020-06-03 17:44:07,a1199c40-0356-4c4a-bf21-075a689895a9,আব্দুলপুর,Abdulpur,,,396,13,109,1,,0
25,594,2020-01-28 22:54:39,false,2020-06-03 17:44:07,907f5713-5264-4ec1-b4cd-960780245d7d,ইসবপুর,Isabpur,,,396,55,379,1,,0
26,607,2020-01-28 22:54:40,false,2020-06-03 17:44:09,772bc521-55cc-45e0-82ef-20348aab9826,ঘোড়াঘাট,Ghoraghat,,,398,38,308,1,,0
27,614,2020-01-28 22:54:40,false,2020-06-03 17:44:11,2724bf1b-fd65-4474-8191-4466d95a5e23,মুকুন্দপুর,Mukundapur,,,400,31,506,1,,0
28,615,2020-01-28 22:54:40,false,2020-06-03 17:44:11,f9ebc463-7d81-48ae-8c51-bc7771156466,রামচন্দ্রপুর,Ramchandrapur,,,400,47,672,1,,0
29,616,2020-01-28 22:54:40,false,2020-06-03 17:44:11,737a0927-552f-4f7e-b6eb-205a89969732,রসুলপুর,Rasulpur,,,400,63,681,1,,0
30,617,2020-01-28 22:54:40,false,2020-06-03 17:44:11,59ac333a-2224-4dd9-98bf-240a21a4cb21,সুন্দরপুর,Sundarpur,,,400,79,707,1,,0
31,618,2020-01-28 22:54:40,false,2020-06-03 17:44:11,24b20d8e-41d8-49a2-a993-c8d08f869648,তাড়গাঁও,Targaon,,,400,94,741,1,,0
32,619,2020-01-28 22:54:40,false,2020-06-03 17:44:11,d5f2bfe5-0ca9-427d-8353-db2898a69910,আলোকঝাড়ী,Alokjhari,,,401,15,109,1,,0
33,621,2020-01-28 22:54:40,false,2020-06-03 17:44:11,309ac4a2-b392-4985-bd28-f3de25922d32,ভাবকী,Bhabki,,,401,47,144,1,,0
34,622,2020-01-28 22:54:40,false,2020-06-03 17:44:11,a7d404a1-6c40-4019-bd40-6fe045064c71,ভেড়ভেড়ী,Bherbheri,,,401,63,153,1,,0
35,623,2020-01-28 22:54:40,false,2020-06-03 17:44:11,2dad793a-3c46-4c58-b4d0-ef8d34bf49c2,গোয়ালডিহি,Goaldihi,,,401,79,311,1,,0
36,627,2020-01-28 22:54:40,false,2020-06-03 17:44:13,5f979659-4ccd-4c94-a800-8b6055a0664f,গোলাপগঞ্জ,Golapganj,,,402,43,310,1,,0
37,628,2020-01-28 22:54:40,false,2020-06-03 17:44:13,056cdbd4-a029-4727-83e9-3599ffebfaa0,জয়পুর,Joypur,,,402,51,410,1,,0
38,635,2020-01-28 22:54:40,false,2020-06-03 17:44:13,40a42f0d-563a-4a80-b5f4-8a13da513df8,চণ্ডীপুর,Chandipur,,,403,17,176,1,,0
39,636,2020-01-28 22:54:40,false,2020-06-03 17:44:14,e7861f8f-5f6c-46f5-937f-7bc5d1d50d8f,হাবড়া,Habra,,,403,25,342,1,,0
40,637,2020-01-28 22:54:40,false,2020-06-03 17:44:14,47de5f70-9104-4641-8b88-94cfe9c36be4,হামিদপুর,Hamidpur,,,403,34,351,1,,0
41,638,2020-01-28 22:54:40,false,2020-06-03 17:44:14,5a98b8a2-359a-4be1-bec2-fd5dea991770,হরিরামপুর,Harirampur,,,403,43,360,1,,0
42,641,2020-01-28 22:54:40,false,2020-06-03 17:44:14,c813febc-4232-4626-b36d-b318cd882763,মোস্তফাপুর,Mostafapur,,,403,69,528,1,,0
43,642,2020-01-28 22:54:40,false,2020-06-03 17:44:14,3d517b83-7b01-4f98-9528-79e33e158088,পলাশবাড়ি,Palashbari,,,403,77,612,1,,0
44,644,2020-01-28 22:54:40,false,2020-06-03 17:44:11,82ef19e9-eaa8-46bc-819e-86fcc1dcc1ac,আস্করপুর,Askarpur,,,404,16,109,1,,0
45,645,2020-01-28 22:54:40,false,2020-06-03 17:44:11,5fda3b28-4a53-4364-8595-11cc52ca4827,আউলিয়াপুর,Auliapur,,,404,17,118,1,,0
46,646,2020-01-28 22:54:40,false,2020-06-03 17:44:11,0022ffae-2112-4f52-9ead-97b7b80ecdef,চেহেলগাজী,Chehelgazi,,,404,25,177,1,,0
47,647,2020-01-28 22:54:40,false,2020-06-03 17:44:12,24bfb5b5-3cc6-48f8-b247-e324d93ad464,ফাজিলপুর,Fazilpur,,,404,34,277,1,,0
48,648,2020-01-28 22:54:40,false,2020-06-03 17:44:12,bb765a7e-78ec-4592-9308-a4cb51930f88,কমলপুর,Kamalpur,,,404,43,443,1,,0
49,649,2020-01-28 22:54:40,false,2020-06-03 17:44:12,e2ee7e9b-70d7-4ebc-99a4-cc2441ff76dd,শঙ্করপুর,Shankarpur,,,404,60,708,1,,0
50,650,2020-01-28 22:54:40,false,2020-06-03 17:44:12,083dd6f8-21de-41c6-8d77-ac2b8d7c88d5,শশরা,Shashara,,,404,69,717,1,,0
51,652,2020-01-28 22:54:40,false,2020-06-03 17:44:12,1ab3c861-b69f-45d3-918f-bc7ebf3f41b8,সুন্দরবন,Sundarban,,,404,86,735,1,,0
52,657,2020-01-28 22:54:40,false,2020-06-03 17:44:15,8cd3e0bf-9bfd-4bcf-b5fc-04feae87b69d,গজারিয়া,Gazaria,,,405,47,310,1,,0
53,697,2020-01-28 22:54:40,false,2020-06-03 17:44:19,3a4e7c59-e528-42c6-83d3-c7da38c05725,মনোহরপুর,Manoharpur,,,408,66,519,1,,0
54,701,2020-01-28 22:54:41,false,2020-06-03 17:44:19,dc15deef-f219-4138-990f-3bc2323a9ef7,ভাতগ্রাম,Bhatgram,,,409,17,151,1,,0
55,704,2020-01-28 22:54:41,false,2020-06-03 17:44:19,1ab75a5a-89a1-4826-880a-f53741547eba,ফরিদপুর,Faridpur,,,409,43,278,1,,0
56,705,2020-01-28 22:54:41,false,2020-06-03 17:44:19,5d4df688-2650-411f-80cc-0ff345fa098f,ইদিলপুর,Idilpur,,,409,51,378,1,,0
57,706,2020-01-28 22:54:41,false,2020-06-03 17:44:19,1ddee485-e2a6-4543-8d08-d7e1c8e91a73,জামালপুর,Jamalpur,,,409,60,412,1,,0
58,709,2020-01-28 22:54:41,false,2020-06-03 17:44:19,185ff714-2e9e-407f-830e-f145af9ece8f,নলডাঙ্গা,Naldanga,,,409,86,547,1,,0
59,710,2020-01-28 22:54:41,false,2020-06-03 17:44:20,41d270f3-c6a5-4342-b414-7b6e7c4d5b3a,রসুলপুর,Rasulpur,,,409,94,680,1,,0
60,748,2020-01-28 22:54:41,false,2020-06-03 17:44:22,1f25a029-26bc-4888-90e8-2a46bd6b66d3,রাজীবপুর,Rajibpur,,,413,19,672,1,,0
61,753,2020-01-28 22:54:41,false,2020-06-03 17:44:23,e127ec98-ace5-4699-b278-1c3bdc097c34,রানীগঞ্জ,Raniganj,,,414,71,682,1,,0
